run_id,task_id,category,difficulty,condition,bytes_used,resources_loaded,resources_total,budget_final,iterations,time_seconds,extracted_answer,answer_score,facts_matched,facts_total,success
f5042fcc,T15,general_information,easy,EcoBudget,9090,30,30,10000,1,3.265,Artificial intelligence,0.93,1,1,True
f5042fcc,T16,heavy_page,medium,Normal,332910,202,202,,1,6.29,May 1941,0.943,0,1,False
f5042fcc,T16,heavy_page,medium,Fixed Eco,14572,30,157,20000,1,2.606,2 September 1945,0.862,1,1,True
f5042fcc,T16,heavy_page,medium,EcoBudget,9827,23,30,10000,1,2.816,2 September 1945,0.862,1,1,True
f5042fcc,T17,heavy_page,medium,Normal,463035,245,245,,1,7.541,Delhi,0.861,1,1,True
f5042fcc,T17,heavy_page,medium,Fixed Eco,12919,30,162,20000,1,3.216,Delhi,0.861,1,1,True
f5042fcc,T17,heavy_page,medium,EcoBudget,9958,23,30,10000,1,3.197,Delhi,0.861,1,1,True
f5042fcc,T18,small_page,easy,Normal,138152,86,86,,1,3.869,Rajasthan,0.971,1,1,True
f5042fcc,T18,small_page,easy,Fixed Eco,15691,30,68,20000,1,2.082,Rajasthan,0.971,1,1,True
f5042fcc,T18,small_page,easy,EcoBudget,9975,21,30,10000,1,2.466,Rajasthan,0.971,1,1,True
f5042fcc,T19,small_page,easy,Normal,214148,145,145,,1,5.011,5G Evolution,0.953,1,2,True
f5042fcc,T19,small_page,easy,Fixed Eco,9157,30,138,20000,1,2.153,5G Evolution,0.953,1,2,True
f5042fcc,T19,small_page,easy,EcoBudget,9157,30,30,10000,1,2.275,5G Evolution,0.953,1,2,True
f5042fcc,T20,ambiguous_subtopic,hard,Normal,520152,333,333,,1,8.976,1793,0.838,0,1,False
f5042fcc,T20,ambiguous_subtopic,hard,Fixed Eco,13831,30,240,20000,1,3.337,22 September 2012,0.809,1,1,True
f5042fcc,T20,ambiguous_subtopic,hard,EcoBudget,9892,24,30,10000,1,3.429,22 September 2012,0.809,1,1,True
